Scopus - Affiliation details

"Affiliation name:","Amrita Vishwa Vidyapeetham University, Bangalore"
"Scopus affiliation ID:","60107595"

"Subject areas","Documents"

"Computer Science","544"
"Engineering","497"
"Materials Science","135"
"Mathematics","110"
"Physics and Astronomy","98"
"Energy","95"
"Decision Sciences","38"
"Chemical Engineering","34"
"Environmental Science","29"
"Chemistry","28"
"Medicine","26"

"© 2019 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
